Client Order ID,Instrument,Side,Quantity,Price
534,Lavender,1,970,31.18
535,Lotus,1,580,22.78
536,Tulip,2,840,12.86
537,Orchid,1,1000,41.58
538,Tulip,1,610,22.98
539,Lavender,1,300,33.13
540,Lavender,2,440,15.51
541,Orchid,2,650,34.23
542,Lavender,2,910,42.24
543,Rose,1,320,44.93
544,Lavender,1,750,25.92
545,Lavender,1,780,27.39
546,Lavender,1,390,11.82
547,Lotus,2,980,47.28
548,Tulip,2,130,17.24
549,Tulip,2,980,21.25
550,Tulip,1,980,12.06
551,Lotus,2,780,40.20
552,Lotus,1,780,31.96
553,Orchid,2,900,41.71
554,Orchid,2,500,39.47
555,Tulip,2,270,49.50
556,Tulip,2,530,27.74
557,Rose,1,570,37.28
558,Rose,2,940,24.68
559,Lavender,1,130,27.68
560,Tulip,2,50,31.42
561,Lavender,2,770,20.87
562,Lavender,2,420,34.52
563,Rose,2,650,16.57
564,Lavender,2,30,27.25
565,Lavender,1,380,33.34
566,Tulip,1,150,19.50
567,Orchid,2,310,42.72
568,Lavender,1,110,47.34
569,Tulip,1,220,40.15
570,Tulip,1,240,14.57
571,Lavender,1,940,43.80
572,Lotus,1,300,41.55
573,Rose,2,990,17.52
574,Lotus,1,80,27.68
575,Lotus,1,960,33.32
576,Rose,1,930,35.90
577,Lavender,2,210,23.86
578,Tulip,2,210,26.83
579,Lavender,2,90,25.89
580,Tulip,2,90,39.54
581,Lotus,2,820,29.78
582,Lotus,1,860,19.05
583,Lavender,1,300,33.64
584,Lotus,2,510,18.72
585,Orchid,1,880,20.85
586,Lavender,1,640,35.38
587,Tulip,2,370,31.02
588,Orchid,2,500,21.70
589,Lotus,1,300,22.88
590,Tulip,2,100,18.28
591,Tulip,1,440,43.46
592,Lotus,2,850,24.77
593,Lavender,1,620,49.21
594,Lavender,2,260,40.80
595,Rose,1,580,14.32
596,Rose,1,200,30.99
597,Rose,2,520,33.08
598,Tulip,1,700,18.79
599,Rose,2,340,46.43
600,Lotus,1,720,31.24
601,Lotus,2,460,10.45
602,Lotus,1,520,10.87
603,Rose,1,860,18.25
604,Tulip,1,700,36.60
605,Lotus,2,330,11.10
606,Orchid,2,10,34.76
607,Rose,1,380,39.77
608,Lotus,2,180,12.40
609,Orchid,2,170,46.51
610,Lavender,2,830,25.67
611,Tulip,1,690,45.52
612,Orchid,1,30,37.02
613,Lavender,2,270,20.31
614,Rose,2,620,16.46
615,Orchid,1,320,18.00
616,Orchid,2,30,33.00
617,Lavender,2,570,32.68
618,Tulip,2,930,21.97
619,Tulip,2,880,13.31
620,Lotus,2,990,36.44
621,Lavender,2,750,45.89
622,Lotus,1,380,17.25
623,Orchid,1,520,39.86
624,Lavender,2,820,20.63
625,Orchid,2,790,25.75
626,Orchid,2,360,36.08
627,Rose,1,390,46.76
628,Lavender,2,970,26.48
629,Rose,2,960,34.64
630,Orchid,1,570,38.87
631,Rose,1,410,35.78
632,Lotus,1,800,29.65
633,Orchid,2,180,22.32
634,Lavender,1,260,25.80
635,Lavender,2,840,36.34
636,Rose,1,20,41.66
637,Orchid,2,230,18.39
638,Lavender,1,290,44.43
639,Rose,2,450,43.44
640,Lavender,2,780,33.61
641,Rose,1,830,40.69
642,Lavender,2,380,38.82
643,Lavender,2,250,44.89
644,Tulip,2,140,33.63
645,Lavender,1,500,40.25
646,Lavender,2,310,23.08
647,Rose,2,230,17.93
648,Tulip,2,670,14.07
649,Lavender,1,210,43.94
650,Orchid,1,780,47.60
651,Orchid,2,180,30.55
652,Rose,1,320,18.71
653,Tulip,1,240,22.04
654,Lavender,2,550,19.24
655,Lavender,1,970,30.31
656,Rose,2,790,16.82
657,Rose,2,650,29.44
658,Rose,2,230,45.20
659,Lavender,1,700,31.18
660,Lotus,1,650,39.04
661,Orchid,2,180,48.69
662,Lotus,1,90,26.06
663,Tulip,2,300,44.52
664,Rose,1,600,28.52
665,Lavender,1,260,15.49
666,Lotus,2,600,36.83
667,Tulip,2,270,43.61
668,Lotus,1,670,17.18
669,Lotus,1,730,35.39
670,Lavender,1,830,14.86
671,Orchid,2,220,18.84
672,Lotus,2,780,44.11
673,Orchid,2,380,26.73
674,Orchid,1,930,16.10
675,Tulip,1,510,21.94
676,Orchid,2,600,32.59
677,Orchid,1,340,18.51
678,Lotus,1,650,44.78
679,Tulip,1,500,32.80
680,Tulip,1,160,25.38
681,Lotus,1,670,39.77
682,Rose,1,20,27.31
683,Tulip,1,560,15.51
684,Lavender,2,60,23.22
685,Lotus,1,260,42.16
686,Rose,1,900,34.81
687,Tulip,2,390,25.43
688,Orchid,2,260,24.87
689,Lavender,2,10,44.43
690,Tulip,2,730,14.06
691,Tulip,1,680,28.83
692,Lotus,2,190,45.33
693,Tulip,1,10,11.35
694,Lotus,1,530,46.80
695,Rose,1,700,23.38
696,Tulip,1,460,41.98
697,Tulip,2,850,13.37
698,Lotus,1,390,22.00
699,Tulip,2,800,42.13
700,Lotus,2,960,48.72
701,Lotus,2,140,28.49
702,Lavender,1,50,34.19
703,Rose,2,460,24.01
704,Rose,2,320,31.53
705,Tulip,2,390,28.82
706,Lavender,1,250,45.25
707,Tulip,2,660,43.71
708,Rose,2,410,17.96
709,Lotus,1,580,17.59
710,Rose,1,590,45.04
711,Rose,1,690,11.73
712,Tulip,1,510,40.07
713,Lotus,1,90,41.63
714,Lavender,2,720,22.89
715,Lavender,1,370,32.04
716,Rose,1,700,18.06
717,Rose,1,750,24.51
718,Orchid,1,830,37.78
719,Lavender,2,730,31.49
720,Lavender,2,480,20.30
721,Tulip,2,600,26.65
722,Rose,2,350,36.04
723,Lavender,1,790,26.82
724,Lotus,2,240,11.52
725,Rose,2,850,26.87
726,Orchid,1,760,48.24
727,Rose,2,300,44.42
728,Orchid,2,630,43.10
729,Lavender,2,150,13.71
730,Lotus,1,810,25.03
731,Lotus,1,730,38.49
732,Lotus,2,640,13.19
733,Tulip,1,250,11.92
734,Lotus,2,700,44.14
735,Orchid,2,90,46.64
736,Rose,2,280,40.87
737,Lotus,1,100,28.60
738,Tulip,2,520,47.72
739,Rose,2,850,45.15
740,Tulip,2,240,23.82
741,Lavender,1,160,28.38
742,Lavender,2,320,44.56
743,Lotus,2,680,13.18
744,Rose,2,730,40.94
745,Lotus,2,300,11.81
746,Tulip,1,370,41.30
747,Orchid,1,270,21.25
748,Orchid,2,710,25.68
749,Tulip,2,80,18.63
750,Lotus,2,300,30.62
751,Orchid,1,550,40.38
752,Lavender,2,360,10.84
753,Tulip,2,870,19.03
754,Tulip,2,120,28.95
755,Lavender,2,400,46.79
756,Lotus,2,190,11.69
757,Lavender,1,470,38.59
758,Tulip,1,1000,38.58
759,Orchid,2,930,24.70
760,Lotus,2,60,34.41
761,Orchid,1,320,40.44
762,Lotus,1,400,46.90
763,Lotus,1,190,42.74
764,Lotus,2,50,26.95
765,Lavender,1,730,19.61
766,Tulip,2,790,43.88
767,Lotus,1,520,32.90
768,Rose,2,320,45.77
769,Lotus,2,470,11.26
770,Tulip,2,230,11.65
771,Lotus,1,230,42.13
772,Lavender,2,590,28.64
773,Lavender,2,70,35.08
774,Orchid,1,610,40.25
775,Lavender,2,10,19.51
776,Tulip,2,200,12.68
777,Orchid,1,300,25.97
778,Rose,2,400,23.72
779,Lavender,1,250,16.15
780,Rose,1,720,44.97
781,Lotus,2,80,20.01
782,Orchid,1,120,10.05
783,Tulip,2,90,36.56
784,Orchid,2,460,10.06
785,Lotus,2,810,24.11
786,Rose,1,870,44.91
787,Lavender,2,910,48.55
788,Tulip,2,280,29.19
789,Orchid,1,660,15.94
790,Orchid,2,990,17.04
791,Rose,1,710,24.17
792,Tulip,2,410,25.33
793,Rose,2,240,37.85
794,Lotus,2,250,23.91
795,Lavender,1,880,36.66
796,Rose,1,310,18.60
797,Rose,2,30,10.49
798,Tulip,2,630,45.74
799,Lotus,1,370,49.52
800,Tulip,1,560,29.96
801,Tulip,1,720,30.51
802,Lotus,2,620,24.19
803,Tulip,1,670,36.51
804,Orchid,1,390,46.04
805,Tulip,1,150,37.19
806,Tulip,1,370,20.20
807,Orchid,2,410,36.93
808,Lavender,1,180,34.07
809,Lotus,2,50,22.42
810,Orchid,1,780,15.15
811,Tulip,2,730,33.42
812,Orchid,1,420,14.18
813,Tulip,1,30,28.86
814,Lotus,2,440,20.37
815,Orchid,2,100,24.46
816,Orchid,2,170,23.15
817,Orchid,2,200,17.10
818,Lotus,2,350,10.74
819,Lavender,2,40,38.41
820,Tulip,2,250,10.29
821,Rose,2,820,40.87
822,Lotus,2,350,48.26
823,Tulip,2,410,24.78
824,Rose,1,540,28.45
825,Lavender,2,530,44.31
826,Lotus,1,980,47.79
827,Rose,2,180,48.79
828,Orchid,1,770,46.25
829,Rose,1,810,48.48
830,Rose,1,630,26.90
831,Lotus,1,580,26.16
832,Lotus,1,530,32.47
833,Rose,1,230,17.17
834,Tulip,2,520,28.75
835,Orchid,1,470,39.70
836,Lotus,1,10,29.65
837,Rose,1,440,29.33
838,Lavender,1,310,25.86
839,Orchid,2,100,45.98
840,Tulip,1,940,38.46
841,Tulip,1,950,15.74
842,Tulip,2,960,42.47
843,Rose,1,160,11.00
844,Lavender,2,500,16.58
845,Orchid,2,130,26.55
846,Lavender,1,450,23.42
847,Orchid,1,800,31.36
848,Lotus,1,740,42.52
849,Tulip,1,90,27.17
850,Orchid,2,30,18.70
851,Lotus,1,940,26.91
852,Lavender,1,980,40.40
853,Lotus,1,480,22.27
854,Tulip,2,770,32.55
855,Rose,1,120,48.20
856,Rose,1,220,15.41
857,Rose,1,420,31.86
858,Rose,2,40,38.06
859,Rose,1,430,31.21
860,Lavender,1,960,40.16
861,Orchid,2,890,40.72
862,Rose,1,350,38.00
863,Lotus,1,300,15.44
864,Rose,2,720,35.56
865,Orchid,2,260,16.04
866,Rose,1,570,45.80
867,Orchid,2,370,47.25
868,Rose,2,830,21.25
869,Tulip,2,990,35.01
870,Rose,1,790,49.88
871,Lavender,2,410,48.28
872,Rose,1,580,30.95
873,Tulip,2,440,18.75
874,Tulip,2,100,46.93
875,Orchid,1,410,41.63
876,Rose,2,330,41.58
877,Orchid,2,450,34.22
878,Orchid,1,450,25.10
879,Tulip,1,380,36.00
880,Orchid,1,450,18.29
881,Lotus,1,680,16.19
882,Rose,1,800,30.94
883,Lotus,1,580,14.38
884,Lavender,2,920,37.54
885,Orchid,1,500,17.32
886,Rose,1,30,24.74
887,Orchid,1,30,36.79
888,Tulip,2,450,20.65
889,Rose,2,710,47.45
890,Lotus,2,580,28.64
891,Tulip,1,460,48.78
892,Lotus,1,890,33.26
893,Rose,2,400,18.48
894,Rose,1,880,31.75
895,Tulip,2,820,49.67
896,Rose,2,1000,12.40
897,Rose,1,200,41.04
898,Tulip,2,190,26.26
899,Lavender,1,610,38.02
900,Tulip,2,250,46.18
901,Lotus,1,480,28.46
902,Rose,1,670,44.55
903,Rose,2,420,19.55
904,Lotus,1,500,25.17
905,Orchid,2,330,29.34
906,Rose,1,880,39.09
907,Rose,1,380,11.78
908,Lotus,2,990,28.69
909,Orchid,2,80,13.99
910,Orchid,1,240,17.43
911,Lotus,2,430,37.28
912,Lavender,1,760,44.49
913,Tulip,2,950,11.59
914,Lavender,1,80,40.04
915,Lavender,2,710,45.24
916,Lavender,1,810,42.17
917,Rose,1,130,12.93
918,Lavender,1,880,11.35
919,Lavender,2,520,26.36
920,Rose,2,110,28.70
921,Lotus,1,1000,17.92
922,Rose,1,210,42.32
923,Lotus,1,1000,30.53
924,Lotus,2,630,20.75
925,Tulip,1,910,46.66
926,Lavender,1,270,30.62
927,Tulip,2,180,36.05
928,Lotus,1,370,15.37
929,Tulip,1,520,23.09
930,Tulip,1,340,17.88
931,Rose,2,440,38.88
932,Rose,1,420,44.08
933,Tulip,2,660,33.01
934,Orchid,1,460,15.80
935,Lotus,2,420,44.54
936,Lavender,1,750,34.85
937,Lavender,1,990,22.96
938,Tulip,1,800,11.63
939,Orchid,2,50,38.61
940,Lotus,1,690,37.85
941,Tulip,1,230,49.05
942,Tulip,1,780,15.83
